datetime,co2content,temperature
2023-11-30 02:52:27,1593.69,18.84
2023-11-30 03:04:42,1574.07,18.84
2023-11-30 03:16:55,1547.38,18.84
2023-11-30 03:16:55,1547.38,18.84
2023-11-30 03:29:10,1540.53,18.84
2023-11-30 03:41:23,1513.3,18.84
2023-11-30 03:53:37,1499.38,18.83
2023-11-30 04:05:52,1470.0,18.85
2023-11-30 04:18:05,1461.38,18.84
2023-11-30 04:30:20,1435.46,18.81
2023-11-30 04:42:34,1419.92,18.81
2023-11-30 04:54:48,1411.84,18.8
2023-11-30 05:07:02,1391.69,18.79
2023-11-30 05:19:15,1375.84,18.79
2023-11-30 05:31:33,1348.76,18.8
2023-11-30 05:43:44,1342.61,18.82
2023-11-30 05:55:57,1319.53,18.85
2023-11-30 06:08:12,1295.76,18.85
2023-11-30 06:20:25,1276.76,18.84
2023-11-30 06:32:40,1272.61,18.85
2023-11-30 06:44:54,1263.61,18.87
2023-11-30 06:57:07,1239.15,18.87
2023-11-30 07:09:28,1221.23,18.87
2023-11-30 07:21:36,1217.69,18.87
2023-11-30 07:33:50,1191.92,18.89
2023-11-30 07:46:04,1175.15,18.85
2023-11-30 07:58:18,1163.53,18.85
2023-11-30 08:10:32,1149.76,18.83
2023-11-30 08:22:46,1132.84,18.84
2023-11-30 08:35:00,1151.3,18.82
2023-11-30 08:47:14,1189.07,18.84
2023-11-30 08:59:28,1323.15,18.91
2023-11-30 09:11:42,1463.0,18.85
2023-11-30 09:23:56,1574.69,19.05
2023-11-30 09:36:10,1701.53,19.1
2023-11-30 09:48:25,1821.92,19.1
2023-11-30 10:00:39,1887.3,19.12
2023-11-30 10:12:53,1825.23,19.0
2023-11-30 10:25:07,1377.92,18.63
2023-11-30 10:37:21,1879.3,19.02
2023-11-30 10:49:35,2550.23,19.47
2023-11-30 11:01:49,3193.3,19.78
2023-11-30 11:14:07,2617.46,19.71
2023-11-30 11:26:17,3062.0,19.8
2023-11-30 11:38:32,3620.61,19.97
2023-11-30 11:50:49,3734.0,20.03
2023-11-30 12:03:00,3678.07,19.92
2023-11-30 12:15:14,3652.0,19.83
2023-11-30 12:27:28,3617.3,19.83
2023-11-30 12:39:42,3589.69,19.77
2023-11-30 12:51:56,3561.46,19.78
2023-11-30 13:04:10,3523.53,19.71
2023-11-30 13:16:24,3508.84,19.87
2023-11-30 13:28:39,3486.07,19.85
2023-11-30 13:40:53,3464.69,19.79
2023-11-30 13:53:07,3412.84,19.8
2023-11-30 14:05:21,3375.0,19.81
2023-11-30 14:17:37,3317.76,19.82
2023-11-30 14:29:49,3280.07,19.84
2023-11-30 14:42:03,3215.84,19.86
2023-11-30 14:54:17,3046.53,19.85
2023-11-30 15:06:31,2766.0,19.87
2023-11-30 15:18:48,2667.84,19.87
2023-11-30 15:30:59,2629.0,19.85
2023-11-30 15:43:13,2579.15,19.85
2023-11-30 15:55:27,2530.76,19.84
2023-11-30 16:07:41,2453.92,19.86
2023-11-30 16:19:55,2397.0,19.86
2023-11-30 16:32:09,2345.46,19.83
2023-11-30 16:44:22,2299.0,19.8
2023-11-30 16:56:37,2250.46,19.76
2023-11-30 17:08:51,2206.46,19.72
2023-11-30 17:21:05,2172.15,19.69
2023-11-30 17:33:19,2126.84,19.66
2023-11-30 17:45:33,2095.3,19.62
2023-11-30 17:57:47,2060.38,19.6
2023-11-30 18:10:01,2022.61,19.58
2023-11-30 18:22:14,1994.69,19.55
